Rank,AgentID,Name,Score,Buchholz
1,75,YGAJemuQ48,28,225
2,2,bGanzbXA44,25,252
3,58,udetPnIA46,24,228
4,94,uohzsHUI45,24,226
5,43,uZHnfumk44,24,222
6,3,HvTATvbp44,24,220
7,22,yLYcVIMf45,24,210
8,81,vXgFpJop43,24,201
9,5,ikdTuzPA45,24,196
10,76,RrMowvFz46,22,234
11,92,rTQRHHEq43,22,222
12,71,jJfsxnEc43,22,183
13,56,tUGlYpGX46,21,220
14,48,EcCEqBsf48,21,214
15,96,DYtvWpXv30,21,213
16,27,NYaOcElq40,21,211
17,35,PXmXEgNi41,21,206
18,15,PIYdaDGs41,21,203
19,82,hEtQOfCj47,21,201
20,4,AIgYvnvl47,21,198
21,38,QiuhwCaw39,21,188
22,61,UjYTsENW42,21,183
23,73,gzGmabRU24,21,182
24,99,AqwqSxSb46,21,163
25,86,YLMDcJCZ42,19,186
26,68,cWjSYEcd48,19,181
27,87,uEvzZNAB44,19,162
28,70,dOAAPdnI47,18,231
29,74,zdesqvKy48,18,224
30,47,pkjkWaUn44,18,213
31,30,hqFzFJzR46,18,213
32,54,RcQbmnoB35,18,212
33,84,KCmTanhK44,18,206
34,11,sVgKgMhd44,18,198
35,29,IpiAyTXw47,18,196
36,55,NaBJqQZH47,18,196
37,59,ofdTcwUx40,18,189
38,100,jYpNwprN48,18,189
39,16,kAVAloWp36,18,184
40,37,dCOoBKLZ47,18,181
41,20,AgukcAyY45,18,172
42,50,fJonlrQy48,18,170
43,28,pKUkwFyd48,18,168
44,69,XsMOYVmT48,18,165
45,79,kfGWSPvZ48,18,159
46,46,GpUzpQlD46,17,156
47,62,wNRFGAPm48,16,187
48,98,gezyFogq30,16,180
49,93,LwpMKwuc47,16,162
50,91,yZIckJnZ46,16,157
51,1,wiiALFMT46,15,205
52,49,VZaykqQM43,15,197
53,52,qplwCqid48,15,196
54,42,ZxHUFoTE48,15,193
55,10,DKjtAcTf48,15,189
56,33,KwuYZffO47,15,187
57,80,mShQBJug48,15,185
58,63,EApemlKg43,15,178
59,51,YBbdIJJc48,15,171
60,77,vPwPcNXM48,15,168
61,97,nQcORWZe48,15,164
62,57,QxKrBFkL46,15,160
63,65,yRtDysgx47,15,160
64,66,pALjUBbQ47,15,160
65,85,evREQobk48,15,157
66,9,bVCeKTWg48,15,150
67,88,UhHkuhUG48,15,147
68,60,gcgtAGgO48,15,147
69,41,LoBucYLB48,15,135
70,32,VyWeakVN48,15,108
71,26,GXiayyvg48,14,176
72,14,AgFoNBUC48,14,157
73,18,hwrUfAPh48,13,184
74,6,LMAanyEV48,12,185
75,39,TyVLYuEb40,12,183
76,31,bbZiEzKU48,12,166
77,13,ClcKkYYF48,12,165
78,64,FLlUrJzk48,12,165
79,21,DWHGSlRB48,12,159
80,83,piYslPNl48,12,156
81,24,aVqdaacG48,12,156
82,7,bUxECPKO48,12,153
83,12,wZOuNdJw47,12,148
84,90,AROKGXjt48,12,144
85,36,gWrvUWbq48,12,141
86,8,JRJblUjK48,12,140
87,23,uPdUOMEe48,12,139
88,53,AVYYVQpr48,12,138
89,19,NjkDFdPV48,11,169
90,44,CQcarvXy48,9,181
91,95,YrRNQwXB48,9,170
92,78,gRCVFrfU48,9,151
93,72,MrdLJsiT47,9,141
94,40,TboakTzL48,9,139
95,17,WOUicwLk48,9,136
96,34,JNjoSRfl48,9,127
97,67,WXwRDOfQ48,9,107
98,45,MTDFTQRD48,6,158
99,89,XXiXTXru48,6,156
100,25,tONFhUxt48,3,135
